Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
181,HawkCayResort B,461.625000,split,466.625000,DTCS,88.5,88.5,074,NN,074,Tone->Tone,NFM,5.00,,50W,Hawk's Cay Resort (Duck Key),,,,
182,Banana Bay R,461.062500,,0.600000,TSQL,79.7,79.7,023,NN,023,Tone->Tone,NFM,5.00,,50W,Banana Bay Resort (Marathon),,,,
183,La Concha,467.925000,,0.600000,TSQL,110.9,110.9,023,NN,023,Tone->Tone,FM,5.00,,50W,Crowne Plaza La Concha Hotel,,,,
184,Sugarloaf KOA,154.570000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Sugarloaf K.O.A.,,,,
185,Blue Green 1,464.500000,,0.600000,TSQL,162.2,162.2,023,NN,023,Tone->Tone,FM,5.00,,50W,Hammocks at Marathon,,,,
186,Holiday Isle B,464.550000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Holiday Isle Resort and Marina (Islamorada) - Food and Bar,,,,
187,Holiday Isle C,151.955000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Holiday Isle Resort and Marina (Islamorada) - Housekeeping,,,,
188,Margvill Hskpng,452.350000,split,457.350000,DTCS,88.5,88.5,047,NN,047,Tone->Tone,NFM,5.00,,50W,Margaritaville Key West Resort and Marina - Housekeeping,,,,
189,Margvill Maint,452.250000,split,457.250000,DTCS,88.5,88.5,031,NN,031,Tone->Tone,NFM,5.00,,50W,Margaritaville Key West Resort and Marina - Maintenance,,,,
190,Margvill Bellman,452.050000,split,457.050000,DTCS,88.5,88.5,031,NN,031,Tone->Tone,NFM,5.00,,50W,Margaritaville Key West Resort and Marina - Bellman,,,,
191,Crtyrd Marathon,464.550000,,0.600000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,NFM,5.00,,50W,Courtyard by Marriott Marathon Florida Keys,,,,
192,Southernmost 2,452.750000,split,457.750000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,Southernmost Hotel in the USA (Key West) Housekeeping,,,,
193,BlueMarlin Hotel,467.850000,,0.600000,TSQL,179.9,179.9,023,NN,023,Tone->Tone,FM,5.00,,50W,Blue Marlin Hotel,,,,
194,UNICOM/CTAF,122.725000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,UNICOM/CTAF,,,,
195,AWOS,119.025000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,AWOS,,,,
196,Clearance/Delive,135.075000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Clearance/Delivery(linked to Homestead ARB approach freq 123.8 MHz),,,,
